Move_1;Move_2;Move_3;Move_4;Move_5;Move_6;Move_7;Move_8;Move_9;Move_10;Score_1;Score_2;Score_3;Score_4;Score_5;Score_6;Score_7;Score_8;Score_9;Score_10
['MAINTAIN: 14 <-> 13', 'MAINTAIN: 11 <-> 7', 'MAINTAIN: 4 <-> 5', 'MAINTAIN: 5 <-> 9', 'MAINTAIN: 8 <-> 4', 'MAINTAIN: 9 <-> 12'];['MAINTAIN: 5 <-> 9', 'MAINTAIN: 12 <-> 8'];['MAINTAIN: 11 <-> 7', 'REPLACE: 6 <-> 5', 'MAINTAIN: 7 <-> 3', 'MAINTAIN: 5 <-> 9', 'MAINTAIN: 14 <-> 13', 'MAINTAIN: 9 <-> 12', 'MAINTAIN: 4 <-> 1'];['REPAIR: 9 <-> 10', 'REPAIR: 13 <-> 12', 'MAINTAIN: 9 <-> 12', 'MAINTAIN: 14 <-> 13', 'MAINTAIN: 6 <-> 5', 'MAINTAIN: 12 <-> 8'];['MAINTAIN: 6 <-> 5', 'REPAIR: 7 <-> 3', 'MAINTAIN: 9 <-> 12', 'REPAIR: 4 <-> 5', 'MAINTAIN: 14 <-> 13'];['REPLACE: 5 <-> 9', 'MAINTAIN: 14 <-> 13', 'REPAIR: 4 <-> 5'];['REPLACE: 9 <-> 10', 'MAINTAIN: 14 <-> 13', 'MAINTAIN: 9 <-> 12'];['MAINTAIN: 5 <-> 9', 'REPAIR: 8 <-> 4'];['REPAIR: 7 <-> 6', 'MAINTAIN: 5 <-> 9', 'REPAIR: 9 <-> 12'];['REPLACE: 2 <-> 3', 'REPAIR: 2 <-> 1'];0;6;9;10;11;12;13;14;14;14
['MAINTAIN: 5 <-> 9', 'MAINTAIN: 9 <-> 12', 'MAINTAIN: 4 <-> 5', 'MAINTAIN: 14 <-> 13', 'MAINTAIN: 10 <-> 11', 'MAINTAIN: 7 <-> 6', 'MAINTAIN: 12 <-> 8', 'MAINTAIN: 7 <-> 3', 'MAINTAIN: 10 <-> 14', 'MAINTAIN: 9 <-> 10'];['MAINTAIN: 5 <-> 9', 'MAINTAIN: 4 <-> 5', 'MAINTAIN: 2 <-> 3'];['MAINTAIN: 4 <-> 1', 'MAINTAIN: 6 <-> 5', 'MAINTAIN: 7 <-> 6', 'MAINTAIN: 4 <-> 5', 'MAINTAIN: 10 <-> 14', 'MAINTAIN: 10 <-> 11', 'MAINTAIN: 7 <-> 3', 'MAINTAIN: 2 <-> 3'];['REPAIR: 11 <-> 7', 'MAINTAIN: 9 <-> 10', 'MAINTAIN: 10 <-> 14', 'REPAIR: 13 <-> 12', 'MAINTAIN: 4 <-> 1'];['REPLACE: 9 <-> 12', 'MAINTAIN: 7 <-> 3', 'MAINTAIN: 4 <-> 1', 'REPAIR: 8 <-> 4', 'MAINTAIN: 9 <-> 10'];['REPAIR: 8 <-> 4', 'MAINTAIN: 4 <-> 1', 'REPAIR: 11 <-> 7', 'MAINTAIN: 9 <-> 10', 'MAINTAIN: 9 <-> 12'];['REPAIR: 10 <-> 11', 'REPAIR: 7 <-> 6'];['REPAIR: 7 <-> 3', 'REPAIR: 9 <-> 10', 'REPAIR: 7 <-> 6', 'REPAIR: 10 <-> 11'];['REPLACE: 10 <-> 14', 'REPAIR: 4 <-> 5', 'REPAIR: 14 <-> 13', 'MAINTAIN: 9 <-> 12'];['REPLACE: 12 <-> 8', 'REPAIR: 5 <-> 9'];1;2;3;4;5;5;5;5;5;5
['MAINTAIN: 4 <-> 1', 'MAINTAIN: 9 <-> 10', 'MAINTAIN: 13 <-> 12', 'MAINTAIN: 7 <-> 6', 'MAINTAIN: 9 <-> 12'];['MAINTAIN: 4 <-> 5', 'MAINTAIN: 12 <-> 8', 'MAINTAIN: 7 <-> 3', 'REPLACE: 2 <-> 3', 'MAINTAIN: 9 <-> 10'];['MAINTAIN: 10 <-> 14', 'MAINTAIN: 5 <-> 9', 'MAINTAIN: 7 <-> 6', 'MAINTAIN: 9 <-> 10'];['REPAIR: 14 <-> 13', 'MAINTAIN: 9 <-> 10', 'MAINTAIN: 7 <-> 6', 'REPAIR: 11 <-> 7'];['MAINTAIN: 9 <-> 10', 'REPAIR: 9 <-> 12', 'REPAIR: 10 <-> 14', 'MAINTAIN: 7 <-> 6', 'REPAIR: 8 <-> 4'];['REPAIR: 6 <-> 5', 'REPAIR: 11 <-> 7', 'MAINTAIN: 7 <-> 6', 'REPAIR: 12 <-> 8'];['REPLACE: 13 <-> 12', 'REPAIR: 2 <-> 3', 'REPAIR: 11 <-> 7', 'REPAIR: 14 <-> 13', 'MAINTAIN: 9 <-> 10'];['REPAIR: 9 <-> 12', 'REPLACE: 10 <-> 11', 'REPAIR: 2 <-> 3'];['REPLACE: 8 <-> 4', 'MAINTAIN: 13 <-> 12', 'REPAIR: 7 <-> 6', 'MAINTAIN: 10 <-> 11'];['REPLACE: 9 <-> 10', 'MAINTAIN: 8 <-> 4'];1;2;3;4;4;4;5;6;6;6
['MAINTAIN: 14 <-> 13', 'MAINTAIN: 7 <-> 6', 'MAINTAIN: 2 <-> 1', 'MAINTAIN: 10 <-> 11', 'MAINTAIN: 4 <-> 1', 'MAINTAIN: 2 <-> 3', 'MAINTAIN: 12 <-> 8'];['MAINTAIN: 10 <-> 14', 'MAINTAIN: 2 <-> 1', 'MAINTAIN: 2 <-> 3', 'MAINTAIN: 9 <-> 10', 'MAINTAIN: 6 <-> 5', 'MAINTAIN: 12 <-> 8', 'MAINTAIN: 4 <-> 5', 'MAINTAIN: 14 <-> 13', 'MAINTAIN: 4 <-> 1', 'MAINTAIN: 8 <-> 4'];['MAINTAIN: 9 <-> 12', 'MAINTAIN: 8 <-> 4', 'MAINTAIN: 2 <-> 3', 'MAINTAIN: 10 <-> 11', 'MAINTAIN: 4 <-> 5'];['REPLACE: 6 <-> 5', 'MAINTAIN: 12 <-> 8', 'MAINTAIN: 9 <-> 10'];['REPLACE: 7 <-> 3'];['REPAIR: 9 <-> 12', 'MAINTAIN: 6 <-> 5'];['REPAIR: 4 <-> 1', 'MAINTAIN: 6 <-> 5', 'REPAIR: 4 <-> 5'];['REPAIR: 9 <-> 10', 'REPLACE: 5 <-> 9'];['REPLACE: 6 <-> 5'];['REPAIR: 10 <-> 11'];3;6;9;10;11;12;12;12;12;12
['MAINTAIN: 2 <-> 1', 'MAINTAIN: 2 <-> 3', 'MAINTAIN: 10 <-> 11', 'MAINTAIN: 11 <-> 7', 'MAINTAIN: 7 <-> 3'];['MAINTAIN: 8 <-> 4', 'MAINTAIN: 11 <-> 7', 'MAINTAIN: 4 <-> 5', 'MAINTAIN: 5 <-> 9', 'MAINTAIN: 14 <-> 13', 'MAINTAIN: 12 <-> 8'];['MAINTAIN: 10 <-> 11', 'MAINTAIN: 14 <-> 13', 'REPLACE: 2 <-> 1', 'MAINTAIN: 8 <-> 4'];['REPLACE: 8 <-> 4', 'MAINTAIN: 12 <-> 8', 'MAINTAIN: 2 <-> 1'];['MAINTAIN: 12 <-> 8', 'MAINTAIN: 8 <-> 4'];['MAINTAIN: 8 <-> 4', 'REPAIR: 4 <-> 1'];['REPLACE: 9 <-> 12', 'REPAIR: 12 <-> 8'];['REPLACE: 13 <-> 12', 'MAINTAIN: 8 <-> 4'];['REPAIR: 6 <-> 5'];['REPAIR: 7 <-> 6', 'REPAIR: 14 <-> 13'];1;2;2;3;4;5;6;7;8;9
['MAINTAIN: 13 <-> 12', 'MAINTAIN: 4 <-> 5', 'MAINTAIN: 7 <-> 6', 'MAINTAIN: 9 <-> 10', 'MAINTAIN: 2 <-> 1', 'MAINTAIN: 11 <-> 7', 'MAINTAIN: 2 <-> 3', 'MAINTAIN: 9 <-> 12'];['REPLACE: 10 <-> 11', 'MAINTAIN: 7 <-> 3', 'MAINTAIN: 2 <-> 3', 'MAINTAIN: 2 <-> 1', 'MAINTAIN: 4 <-> 1', 'MAINTAIN: 6 <-> 5', 'MAINTAIN: 9 <-> 10'];['MAINTAIN: 2 <-> 3', 'MAINTAIN: 2 <-> 1', 'MAINTAIN: 10 <-> 14'];['REPLACE: 4 <-> 5', 'MAINTAIN: 6 <-> 5'];['REPAIR: 8 <-> 4'];['REPLACE: 10 <-> 14', 'MAINTAIN: 2 <-> 1', 'MAINTAIN: 2 <-> 3'];['MAINTAIN: 2 <-> 1', 'REPAIR: 7 <-> 6'];['REPLACE: 5 <-> 9'];['REPAIR: 4 <-> 1', 'MAINTAIN: 10 <-> 14'];['REPAIR: 12 <-> 8', 'REPAIR: 8 <-> 4', 'MAINTAIN: 10 <-> 14'];3;6;9;12;13;14;14;14;14;14
['MAINTAIN: 5 <-> 9', 'MAINTAIN: 10 <-> 14'];['MAINTAIN: 5 <-> 9', 'MAINTAIN: 4 <-> 5', 'MAINTAIN: 14 <-> 13', 'MAINTAIN: 6 <-> 5', 'MAINTAIN: 7 <-> 3', 'MAINTAIN: 10 <-> 14'];['MAINTAIN: 4 <-> 5', 'MAINTAIN: 13 <-> 12', 'MAINTAIN: 4 <-> 1', 'MAINTAIN: 9 <-> 10', 'MAINTAIN: 7 <-> 3'];['REPAIR: 12 <-> 8', 'REPAIR: 2 <-> 1', 'REPLACE: 9 <-> 10', 'REPAIR: 11 <-> 7'];['MAINTAIN: 7 <-> 3', 'REPAIR: 2 <-> 1', 'REPAIR: 4 <-> 1', 'REPAIR: 12 <-> 8', 'REPAIR: 8 <-> 4'];['REPAIR: 4 <-> 1', 'REPLACE: 10 <-> 11', 'REPAIR: 8 <-> 4', 'REPAIR: 13 <-> 12'];['REPAIR: 9 <-> 12', 'REPAIR: 7 <-> 3', 'REPAIR: 7 <-> 6', 'REPAIR: 5 <-> 9'];['MAINTAIN: 10 <-> 11', 'REPAIR: 10 <-> 14', 'REPLACE: 7 <-> 6', 'REPAIR: 9 <-> 12', 'REPAIR: 2 <-> 3'];['REPAIR: 12 <-> 8', 'REPAIR: 5 <-> 9', 'REPAIR: 2 <-> 3', 'REPAIR: 13 <-> 12'];['REPLACE: 6 <-> 5', 'REPAIR: 4 <-> 5', 'REPAIR: 10 <-> 14'];3;6;7;8;9;12;13;16;17;18
['MAINTAIN: 11 <-> 7', 'MAINTAIN: 6 <-> 5', 'MAINTAIN: 14 <-> 13', 'MAINTAIN: 2 <-> 1', 'MAINTAIN: 5 <-> 9', 'MAINTAIN: 4 <-> 1', 'MAINTAIN: 12 <-> 8', 'MAINTAIN: 10 <-> 14'];['MAINTAIN: 5 <-> 9', 'MAINTAIN: 14 <-> 13', 'MAINTAIN: 13 <-> 12', 'MAINTAIN: 9 <-> 10', 'MAINTAIN: 4 <-> 1'];['MAINTAIN: 9 <-> 12', 'MAINTAIN: 10 <-> 14', 'MAINTAIN: 4 <-> 1'];['REPAIR: 7 <-> 3', 'REPLACE: 12 <-> 8', 'MAINTAIN: 9 <-> 10', 'MAINTAIN: 10 <-> 14', 'MAINTAIN: 14 <-> 13', 'MAINTAIN: 6 <-> 5'];['MAINTAIN: 10 <-> 14', 'MAINTAIN: 14 <-> 13', 'REPAIR: 7 <-> 3'];['REPLACE: 11 <-> 7', 'MAINTAIN: 10 <-> 14', 'REPAIR: 8 <-> 4'];['REPAIR: 5 <-> 9', 'REPAIR: 2 <-> 1', 'MAINTAIN: 10 <-> 14'];['MAINTAIN: 10 <-> 14', 'REPLACE: 14 <-> 13', 'REPAIR: 2 <-> 3'];['REPAIR: 2 <-> 1', 'REPAIR: 7 <-> 3'];['REPAIR: 6 <-> 5', 'REPAIR: 9 <-> 12', 'MAINTAIN: 14 <-> 13', 'MAINTAIN: 10 <-> 14', 'REPAIR: 12 <-> 8'];3;6;7;10;11;14;17;20;21;22
['MAINTAIN: 13 <-> 12', 'MAINTAIN: 4 <-> 5', 'MAINTAIN: 7 <-> 3', 'MAINTAIN: 10 <-> 14', 'MAINTAIN: 8 <-> 4'];['MAINTAIN: 10 <-> 14', 'MAINTAIN: 7 <-> 6', 'MAINTAIN: 9 <-> 10', 'MAINTAIN: 6 <-> 5', 'MAINTAIN: 2 <-> 3', 'MAINTAIN: 11 <-> 7', 'MAINTAIN: 4 <-> 1', 'MAINTAIN: 7 <-> 3'];['MAINTAIN: 8 <-> 4', 'MAINTAIN: 10 <-> 14', 'MAINTAIN: 13 <-> 12', 'REPLACE: 4 <-> 5', 'MAINTAIN: 12 <-> 8'];['REPAIR: 9 <-> 12', 'REPAIR: 5 <-> 9', 'MAINTAIN: 2 <-> 3'];['MAINTAIN: 2 <-> 3', 'REPLACE: 4 <-> 5', 'REPAIR: 6 <-> 5'];['REPAIR: 7 <-> 3'];['REPAIR: 2 <-> 3', 'REPLACE: 11 <-> 7'];['REPAIR: 9 <-> 12', 'REPAIR: 12 <-> 8'];['REPAIR: 6 <-> 5', 'REPLACE: 4 <-> 5'];['REPAIR: 9 <-> 12', 'REPAIR: 2 <-> 1', 'REPAIR: 12 <-> 8'];3;6;7;7;7;7;7;7;7;7
['MAINTAIN: 8 <-> 4', 'MAINTAIN: 9 <-> 12', 'MAINTAIN: 9 <-> 10', 'MAINTAIN: 14 <-> 13', 'MAINTAIN: 10 <-> 11', 'MAINTAIN: 5 <-> 9'];['MAINTAIN: 2 <-> 3', 'MAINTAIN: 7 <-> 3', 'MAINTAIN: 10 <-> 14', 'REPLACE: 10 <-> 11'];['MAINTAIN: 10 <-> 14', 'MAINTAIN: 13 <-> 12', 'MAINTAIN: 2 <-> 3', 'MAINTAIN: 10 <-> 11', 'MAINTAIN: 14 <-> 13'];['MAINTAIN: 13 <-> 12', 'REPAIR: 12 <-> 8', 'REPAIR: 2 <-> 1', 'MAINTAIN: 2 <-> 3', 'MAINTAIN: 9 <-> 12', 'MAINTAIN: 5 <-> 9'];['REPLACE: 11 <-> 7', 'MAINTAIN: 13 <-> 12', 'REPAIR: 7 <-> 3'];['REPLACE: 4 <-> 1'];['REPAIR: 12 <-> 8'];['REPLACE: 9 <-> 10'];['REPAIR: 9 <-> 12'];['REPLACE: 7 <-> 6', 'REPAIR: 5 <-> 9'];3;6;7;8;9;10;10;10;10;10
['MAINTAIN: 10 <-> 14', 'MAINTAIN: 5 <-> 9', 'MAINTAIN: 7 <-> 3', 'MAINTAIN: 6 <-> 5'];['MAINTAIN: 10 <-> 11', 'MAINTAIN: 7 <-> 6', 'MAINTAIN: 6 <-> 5', 'MAINTAIN: 4 <-> 5', 'MAINTAIN: 9 <-> 10'];['MAINTAIN: 8 <-> 4', 'MAINTAIN: 12 <-> 8', 'REPLACE: 2 <-> 1', 'MAINTAIN: 10 <-> 11', 'MAINTAIN: 4 <-> 5'];['MAINTAIN: 10 <-> 11', 'MAINTAIN: 10 <-> 14', 'MAINTAIN: 5 <-> 9', 'REPLACE: 9 <-> 12', 'MAINTAIN: 7 <-> 3', 'MAINTAIN: 4 <-> 5'];['REPAIR: 12 <-> 8', 'MAINTAIN: 10 <-> 14'];['REPAIR: 8 <-> 4', 'MAINTAIN: 4 <-> 5', 'MAINTAIN: 10 <-> 14'];['REPAIR: 5 <-> 9', 'REPAIR: 9 <-> 10', 'REPAIR: 14 <-> 13'];['REPLACE: 13 <-> 12', 'REPAIR: 9 <-> 12', 'REPAIR: 10 <-> 14'];['REPAIR: 14 <-> 13', 'REPLACE: 7 <-> 3'];['REPLACE: 7 <-> 6', 'MAINTAIN: 13 <-> 12'];0;3;5;6;7;8;8;8;8;8
['MAINTAIN: 4 <-> 1', 'MAINTAIN: 10 <-> 11', 'MAINTAIN: 4 <-> 5', 'MAINTAIN: 10 <-> 14', 'MAINTAIN: 7 <-> 3', 'MAINTAIN: 2 <-> 3'];['MAINTAIN: 13 <-> 12', 'MAINTAIN: 9 <-> 12', 'REPLACE: 7 <-> 6', 'MAINTAIN: 5 <-> 9', 'MAINTAIN: 10 <-> 14'];['MAINTAIN: 11 <-> 7', 'MAINTAIN: 10 <-> 11', 'MAINTAIN: 9 <-> 12', 'MAINTAIN: 7 <-> 3', 'MAINTAIN: 8 <-> 4', 'MAINTAIN: 10 <-> 14'];['MAINTAIN: 9 <-> 12', 'REPAIR: 9 <-> 10', 'MAINTAIN: 4 <-> 1', 'REPAIR: 14 <-> 13'];['REPLACE: 7 <-> 6', 'MAINTAIN: 7 <-> 3', 'REPAIR: 5 <-> 9'];['REPAIR: 4 <-> 5', 'MAINTAIN: 10 <-> 14', 'REPAIR: 8 <-> 4'];['REPAIR: 4 <-> 5', 'REPAIR: 7 <-> 3', 'REPAIR: 2 <-> 3'];['REPAIR: 5 <-> 9', 'REPLACE: 10 <-> 14', 'REPAIR: 8 <-> 4'];['REPLACE: 10 <-> 11', 'REPAIR: 6 <-> 5'];['REPLACE: 10 <-> 14'];3;4;5;6;6;6;6;6;6;6
['MAINTAIN: 10 <-> 14', 'MAINTAIN: 12 <-> 8', 'MAINTAIN: 8 <-> 4', 'MAINTAIN: 6 <-> 5', 'MAINTAIN: 10 <-> 11', 'MAINTAIN: 4 <-> 5', 'MAINTAIN: 4 <-> 1'];['MAINTAIN: 10 <-> 11', 'MAINTAIN: 4 <-> 5', 'MAINTAIN: 11 <-> 7', 'MAINTAIN: 2 <-> 1', 'MAINTAIN: 8 <-> 4', 'MAINTAIN: 4 <-> 1'];['MAINTAIN: 9 <-> 12', 'MAINTAIN: 9 <-> 10', 'MAINTAIN: 2 <-> 1'];['MAINTAIN: 4 <-> 5', 'MAINTAIN: 10 <-> 14', 'MAINTAIN: 8 <-> 4', 'MAINTAIN: 10 <-> 11', 'MAINTAIN: 6 <-> 5', 'REPAIR: 5 <-> 9', 'REPAIR: 2 <-> 3'];['MAINTAIN: 4 <-> 1', 'REPAIR: 14 <-> 13', 'REPAIR: 2 <-> 3', 'MAINTAIN: 10 <-> 11'];['REPAIR: 2 <-> 1', 'MAINTAIN: 4 <-> 5', 'REPAIR: 6 <-> 5', 'REPAIR: 11 <-> 7'];['REPAIR: 8 <-> 4', 'REPAIR: 14 <-> 13', 'REPAIR: 2 <-> 1', 'REPAIR: 4 <-> 1'];['REPAIR: 10 <-> 11', 'REPAIR: 9 <-> 10', 'REPAIR: 11 <-> 7', 'REPAIR: 2 <-> 3', 'REPLACE: 13 <-> 12', 'REPAIR: 12 <-> 8'];['REPAIR: 2 <-> 1', 'REPAIR: 8 <-> 4', 'REPAIR: 7 <-> 3', 'REPAIR: 12 <-> 8', 'REPLACE: 10 <-> 14', 'MAINTAIN: 13 <-> 12'];['REPLACE: 14 <-> 13', 'REPAIR: 4 <-> 5', 'REPAIR: 2 <-> 3'];3;6;9;12;15;18;19;20;21;22
['MAINTAIN: 13 <-> 12', 'MAINTAIN: 2 <-> 3', 'MAINTAIN: 2 <-> 1', 'MAINTAIN: 7 <-> 6', 'MAINTAIN: 6 <-> 5', 'MAINTAIN: 9 <-> 10', 'MAINTAIN: 4 <-> 1', 'MAINTAIN: 8 <-> 4'];['MAINTAIN: 9 <-> 12', 'MAINTAIN: 5 <-> 9'];['REPLACE: 4 <-> 1', 'MAINTAIN: 10 <-> 14', 'MAINTAIN: 8 <-> 4', 'MAINTAIN: 9 <-> 12', 'MAINTAIN: 14 <-> 13', 'MAINTAIN: 5 <-> 9', 'MAINTAIN: 6 <-> 5', 'MAINTAIN: 11 <-> 7'];['REPAIR: 10 <-> 11', 'REPAIR: 4 <-> 5', 'MAINTAIN: 4 <-> 1'];['REPAIR: 11 <-> 7', 'MAINTAIN: 9 <-> 12', 'REPAIR: 10 <-> 14', 'MAINTAIN: 6 <-> 5'];['MAINTAIN: 9 <-> 12', 'MAINTAIN: 6 <-> 5', 'REPLACE: 10 <-> 11'];['REPLACE: 13 <-> 12', 'MAINTAIN: 10 <-> 11'];['REPAIR: 12 <-> 8', 'MAINTAIN: 13 <-> 12', 'MAINTAIN: 10 <-> 11'];['REPLACE: 5 <-> 9'];['MAINTAIN: 10 <-> 11', 'MAINTAIN: 13 <-> 12', 'REPAIR: 12 <-> 8'];1;2;3;4;5;5;5;5;5;5
['MAINTAIN: 10 <-> 11', 'MAINTAIN: 7 <-> 3', 'MAINTAIN: 13 <-> 12', 'MAINTAIN: 8 <-> 4', 'MAINTAIN: 5 <-> 9', 'MAINTAIN: 2 <-> 1'];['MAINTAIN: 10 <-> 11', 'MAINTAIN: 10 <-> 14', 'REPLACE: 4 <-> 1', 'MAINTAIN: 12 <-> 8'];['MAINTAIN: 13 <-> 12', 'MAINTAIN: 8 <-> 4', 'REPLACE: 6 <-> 5', 'MAINTAIN: 7 <-> 3'];['MAINTAIN: 5 <-> 9', 'MAINTAIN: 10 <-> 14'];['REPAIR: 14 <-> 13', 'MAINTAIN: 8 <-> 4', 'MAINTAIN: 13 <-> 12', 'MAINTAIN: 6 <-> 5'];['REPAIR: 14 <-> 13', 'REPAIR: 10 <-> 14', 'MAINTAIN: 8 <-> 4'];['REPAIR: 13 <-> 12', 'MAINTAIN: 6 <-> 5', 'REPAIR: 7 <-> 3', 'REPAIR: 9 <-> 12'];['REPAIR: 10 <-> 14', 'REPAIR: 4 <-> 1', 'REPAIR: 2 <-> 1', 'REPAIR: 7 <-> 3'];['REPAIR: 7 <-> 3', 'REPAIR: 10 <-> 11'];['REPAIR: 10 <-> 14', 'REPAIR: 7 <-> 3', 'REPLACE: 4 <-> 1', 'REPLACE: 8 <-> 4', 'REPAIR: 2 <-> 3'];1;2;3;4;5;6;7;8;9;9
